行业名称	就业人数
谷物及其他作物的种植	29831842
房屋工程建筑	2551101
综合零售	1756329
蔬菜、园艺作物的种植	1485741
国家行政机构	1384645
纺织服装制造	1340695
水果、坚果、饮料和香料作物的种植	1190663
食品、饮料及烟草制品专门零售	1124420
正餐服务	1099234
纺织、服装及日用品专门零售	1024299
道路货物运输	926124
建筑装饰业	715783
中等教育	659111
猪的饲养	574136
医院	545874
皮革制品制造	510205
初等教育	501034
烟煤和无烟煤的开采洗选	438796
牲畜的饲养	403521
棉、化纤纺织及印染精加工	398874
修理与维护	391270
电子元件制造	381012
汽车制造	379266
五金、家具及室内装修材料专门零售	375155
家用电器及电子产品专门零售	363655
土木工程建筑	351998
理发及美容保健服务	306032
公路旅客运输	298223
出租车客运	292558
食品、饮料及烟草制品批发	284075
结构性金属制品制造	280864
纺织、服装及日用品批发	273481
快餐服务	270987
砖瓦、石材及其他建筑材料制造	265881
木质家具制造	265671
针织品、编织品及其制品制造	264454
商业银行	257602
工艺美术品制造	245764
物业管理	236926
矿产品、建材及化工产品批发	236767
其他餐饮服务	232722
高等教育	227719
建筑安装业	223706
家禽的饲养	217465
电信	214070
电子器件制造	203467
电力供应	194749
汽车、摩托车、燃料及零配件专门零售	192216
无店铺及其他零售	189373
内陆渔业	182676
房地产开发经营	177632
其他居民服务	175576
家庭服务	173749
通用零部件制造及机械修理	172627
玩具制造	170834
纺织制成品制造	170390
旅游饭店	166858
学前教育	165719
其他批发	163623
家用电力器具制造	163511
机械设备、五金交电及电子产品批发	160743
金属加工机械制造	159543
林木的培育和种植	159509
印刷	153858
输配电及控制设备制造	150357
医药及医疗器材专门零售	148444
村民自治组织	148068
电力生产	142993
文化、体育用品及器材专门零售	141898
焙烤食品制造	133639
装卸搬运	133164
一般旅馆	133157
海洋渔业	131622
道路运输辅助活动	130880
炼钢	125448
其他商务服务	123306
纸制品制造	122231
化工、木材、非金属加工专用设备制造	120393
环境治理	120202
锯材、木片加工	119892
纺织面料鞋的制造	118432
人寿保险	117485
水泥、石灰和石膏的制造	116488
卫生院及社区医疗活动	115311
电子和电工机械专用设备制造	115165
玻璃及玻璃制品制造	112240
屠宰及肉类加工	107960
专用化学产品制造	107671
通信设备制造	104810
金属工具制造	103306
公共电汽车客运	103221
清洁服务	102979
钢压延加工	102526
电子计算机制造	102307
电机制造	98161
其他教育	97416
农畜产品批发	96210
船舶及浮动装置制造	96054
陶瓷制品制造	95099
铁路运输辅助活动	94717
铁路旅客运输	91419
人造板制造	91136
基础化学原料制造	89160
室内娱乐活动	87041
照明器具制造	86926
泵、阀门、压缩机及类似机械的制造	86783
农业服务业	86623
酒的制造	86047
社区自治组织	84807
广告业	82299
电线、电缆、光缆及电工器材制造	81531
其他畜牧业	81497
运输代理服务	81399
中药材的种植	80965
木制品制造	79747
方便食品制造	79542
门诊部医疗活动	79284
常用有色金属冶炼	78899
造纸	78703
公共软件服务	77988
不锈钢及类似日用金属制品制造	76716
其他农副食品加工	75815
矿山、冶金、建筑专用设备制造	75537
肥料制造	74516
轴承、齿轮、传动和驱动部件的制造	71816
其他未列明的服务	71572
企业管理服务	71015
土砂石开采	69757
建筑、安全用金属制品制造	69639
水泥及石膏制品制造	69034
洗浴服务	68090
日用塑料制造	67612
金属铸、锻加工	66501
自来水的生产和供应	66457
林产品的采集	66376
